time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-31T19:10:10.240Z,24.0751,121.6974,11.88,4.6,mwr,,64,0.135,0.93,us,us70006sxv,2020-01-01T08:12:43.323Z,"14km NE of Hualian, Taiwan",earthquake,3,2.1,0.063,24,reviewed,us,us
2019-12-31T19:02:55.588Z,44.084,150.2225,10,4.9,mb,,88,5.494,0.9,us,us70006sxu,2019-12-31T19:29:25.040Z,"225km SE of Kuril'sk, Russia",earthquake,5.8,1.8,0.037,230,reviewed,us,us
2019-12-31T18:40:52.744Z,30.5353,-42.0468,10,4.8,mb,,91,24.922,0.83,us,us70006sxq,2019-12-31T19:10:34.040Z,"Northern Mid-Atlantic Ridge",earthquake,6.1,1.9,0.062,82,reviewed,us,us
2019-12-31T17:41:11.771Z,43.9091,150.1792,10,4.6,mb,,119,5.475,0.48,us,us70006sxi,2019-12-31T19:52:35.040Z,"234km SE of Kuril'sk, Russia",earthquake,10.5,1.9,0.069,65,reviewed,us,us
2019-12-31T14:57:24.295Z,-14.9785,167.8074,6.79,4.6,mb,,112,0.746,0.76,us,us70006svy,2019-12-31T15:26:09.040Z,"81km E of Port-Olry, Vanuatu",earthquake,7.6,5.6,0.093,35,reviewed,us,us
2019-12-31T11:22:53.820Z,-33.6889,-178.4968,38.16,5,mb,,121,4.659,0.49,us,us70006suy,2019-12-31T11:42:37.040Z,"253km S of L'Esperance Rock, New Zealand",earthquake,11.2,6.4,0.12,22,reviewed,us,us
2019-12-31T02:34:13.422Z,-23.294,-179.8039,537.4,4.6,mb,,117,10.123,0.74,us,us70006ssq,2019-12-31T03:00:00.040Z,"South of the Fiji Islands",earthquake,12.5,9.5,0.055,99,reviewed,us,us
2019-12-31T02:03:00.304Z,-33.3601,-178.4265,10,5,mb,,166,4.124,0.68,us,us70006ssh,2019-12-31T02:22:32.848Z,"218km SSE of L'Esperance Rock, New Zealand",earthquake,8,1.9,0.126,20,reviewed,us,us
2019-12-31T00:21:09.002Z,55.2401,161.1817,109.28,4.5,mb,,113,2.674,0.67,us,us70006srq,2019-12-31T00:50:54.040Z,"136km SW of Ust'-Kamchatsk Staryy, Russia",earthquake,9.1,6.8,0.04,189,reviewed,us,us
2019-12-30T19:20:16.881Z,35.5742,74.5691,10,4.5,mb,,75,2.198,0.82,us,us70006sly,2019-12-31T14:54:02.102Z,"36km NW of Idgah, Pakistan",earthquake,7.1,1.9,0.085,41,reviewed,us,us
2019-12-30T18:58:20.268Z,7.2992,-78.6598,10,4.6,mb,,105,4.256,0.5,us,us70006sll,2019-12-30T20:09:11.040Z,"59km WSW of Jaque, Panama",earthquake,9.8,2,0.069,63,reviewed,us,us
2019-12-30T18:43:36.538Z,28.8748,142.4579,10,4.9,mb,,124,1.788,0.55,us,us70006sla,2019-12-30T19:53:15.040Z,"199km N of Chichi-shima, Japan",earthquake,5.2,1.9,0.047,142,reviewed,us,us
2019-12-30T18:01:41.845Z,42.1919,23.5482,10,4.5,mb,,62,1.819,0.49,us,us70006sk5,2019-12-31T12:56:36.850Z,"15km S of Samokov, Bulgaria",earthquake,5.6,1.9,0.192,8,reviewed,us,us
2019-12-30T17:49:58.333Z,35.6352,74.6337,16.3,5.1,mww,,43,2.277,0.71,us,us70006sjv,2019-12-30T22:24:40.040Z,"38km NNW of Idgah, Pakistan",earthquake,6.7,3.9,0.078,16,reviewed,us,us
2019-12-30T17:18:57.357Z,35.5846,74.611,13.28,5.4,mww,,41,2.224,0.68,us,us70006sj8,2019-12-31T17:21:11.716Z,"34km NW of Idgah, Pakistan",earthquake,6.6,3.9,0.089,12,reviewed,us,us
2019-12-30T17:12:33.937Z,35.7275,74.4364,10,4.6,mb,,81,2.284,0.65,us,us70006sif,2019-12-30T19:16:52.734Z,"24km SSE of Gilgit, Pakistan",earthquake,7.4,1.9,0.085,41,reviewed,us,us
2019-12-30T16:59:03.575Z,6.6411,94.3691,97.59,4.9,mww,,89,2.923,0.98,us,us70006si5,2019-12-30T17:55:34.040Z,"133km NW of Sabang, Indonesia",earthquake,8.4,6.6,0.078,16,reviewed,us,us
2019-12-30T13:49:45.224Z,27.4014,56.5176,10,5,mww,,70,2.462,0.55,us,us70006sg8,2019-12-30T17:52:50.123Z,"33km NE of Bandar 'Abbas, Iran",earthquake,5.6,1.9,0.08,15,reviewed,us,us
2019-12-30T06:16:52.228Z,-8.3909,-76.1617,127.11,4.6,mb,,135,3.636,0.66,us,us70006scn,2019-12-30T06:41:24.040Z,"34km ENE of Uchiza, Peru",earthquake,11,6.2,0.048,128,reviewed,us,us
2019-12-30T04:11:09.244Z,27.871,142.8735,10.88,5.2,mww,,64,0.985,0.81,us,us70006sbu,2019-12-30T04:28:46.040Z,"108km NE of Chichi-shima, Japan",earthquake,7.2,4.3,0.08,15,reviewed,us,us
2019-12-30T04:01:33.204Z,19.7415,-105.2979,35,4.7,mb,,177,4.654,1.4,us,us70006sbp,2019-12-31T20:34:45.854Z,"21km SSW of Tomatlan, Mexico",earthquake,10,2,0.027,423,reviewed,us,us
2019-12-30T00:32:52.238Z,27.8138,142.8402,11.04,4.9,mb,,71,0.922,0.6,us,us70006sb2,2019-12-30T01:25:56.040Z,"101km NE of Chichi-shima, Japan",earthquake,6.9,3.7,0.062,82,reviewed,us,us
2019-12-29T18:24:41.589Z,-52.8544,11.3526,10,5.3,mww,,89,19.897,1.07,us,us70006s89,2019-12-30T18:59:40.040Z,"Southwest of Africa",earthquake,13.1,1.8,0.073,18,reviewed,us,us
2019-12-29T16:24:45.775Z,-6.3622,154.9449,35,4.9,mb,,100,8.282,0.82,us,us70006s7s,2019-12-29T16:48:53.040Z,"59km W of Panguna, Papua New Guinea",earthquake,10.2,2,0.078,51,reviewed,us,us
2019-12-29T13:59:02.340Z,-5.5339,151.7363,35,5.1,mb,,91,5.57,0.78,us,us70006s6z,2019-12-29T15:45:00.040Z,"143km SSW of Kokopo, Papua New Guinea",earthquake,9.6,2,0.047,148,reviewed,us,us
2019-12-29T13:18:06.464Z,4.4091,125.1504,65.42,4.7,mb,,88,2.677,1.16,us,us70006s6j,2019-12-29T14:11:18.040Z,"115km SSW of Sarangani, Philippines",earthquake,8.4,8.2,0.09,38,reviewed,us,us
2019-12-29T12:03:55.928Z,4.6257,125.3181,49.65,4.8,mb,,94,2.441,0.64,us,us70006s64,2019-12-29T12:52:40.040Z,"87km S of Sarangani, Philippines",earthquake,5.6,7.7,0.069,65,reviewed,us,us
2019-12-29T11:25:23.524Z,55.1467,160.6628,118.92,4.5,mb,,79,2.435,0.47,us,us70006s5t,2019-12-29T13:13:21.040Z,"151km SE of Esso, Russia",earthquake,10.4,7.6,0.042,169,reviewed,us,us
2019-12-29T09:12:14.074Z,4.6441,125.3147,10,5.2,mww,,37,2.424,1.08,us,us70006s54,2019-12-29T09:29:50.040Z,"85km S of Sarangani, Philippines",earthquake,6.7,1.8,0.078,16,reviewed,us,us
2019-12-29T06:34:25.467Z,3.1424,123.8263,414.47,4.5,mb,,89,3.65,0.91,us,us70006s4e,2019-12-29T07:06:02.040Z,"215km NNW of Manado, Indonesia",earthquake,7.7,9.8,0.096,32,reviewed,us,us
2019-12-29T01:44:25.526Z,29.3174,143.0572,10,4.9,mb,,138,2.343,0.83,us,us70006s2x,2019-12-29T02:17:47.040Z,"260km NNE of Chichi-shima, Japan",earthquake,11,1.9,0.108,27,reviewed,us,us
2019-12-29T01:21:14.590Z,17.9308,-66.8363,3,4.7,ml,17,205,0.0617,0.18,pr,pr2019363003,2019-12-29T17:34:30.955Z,"11km S of Indios, Puerto Rico",earthquake,0.86,0.53,0.29,13,reviewed,pr,pr
2019-12-29T01:13:25.160Z,-0.4979,-91.253,10,4.5,mb,,99,0.982,0.83,us,us70006s2g,2019-12-29T02:38:39.040Z,"59km NNW of Puerto Villamil, Ecuador",earthquake,9.4,1.9,0.075,53,reviewed,us,us
2019-12-29T01:06:00.130Z,17.8846,-66.864,6,5,ml,18,222,0.1992,0.24,pr,pr2019363002,2020-01-01T06:44:39.357Z,"10km S of Indios, Puerto Rico",earthquake,1.36,0.96,0,0,reviewed,pr,pr
2019-12-29T00:11:11.871Z,-14.9121,-71.9027,133.31,4.6,mb,,144,3.535,0.97,us,us70006s1l,2019-12-29T00:34:00.040Z,"55km SSE of Santo Tomas, Peru",earthquake,11,8.9,0.087,40,reviewed,us,us
2019-12-28T22:49:16.082Z,-30.3842,-177.6075,10,5.1,mb,,108,1.169,1.12,us,us70006s0k,2019-12-28T23:28:54.948Z,"127km SSE of Raoul Island, New Zealand",earthquake,9.7,1.9,0.082,49,reviewed,us,us
2019-12-28T22:35:37.830Z,17.9371,-66.8661,6,4.7,ml,17,204,0.0402,0.23,pr,pr2019362024,2019-12-29T01:02:28.351Z,"5km SE of Guanica, Puerto Rico",earthquake,1.02,0.58,0.41,13,reviewed,pr,pr
2019-12-28T22:29:38.811Z,39.014,74.802,10,4.5,mb,,67,2.373,1,us,us70006s04,2019-12-29T05:39:57.040Z,"107km E of Karakul, Tajikistan",earthquake,6.1,1.8,0.118,21,reviewed,us,us
